class,precision,recall,f1-score,support
joy,0.8683,0.9713,0.9169,1045.0
fear,0.7808,0.8081,0.7942,1058.0
anger,0.6157,0.5331,0.5714,1058.0
sadness,0.448,0.919,0.6024,1037.0
disgust,0.7071,0.5426,0.614,1032.0
shame,0.8425,0.3414,0.4859,1034.0
guilt,0.6879,0.5197,0.5921,1039.0
accuracy,0.6627,0.6627,0.6627,0.6627
macro avg,0.7072,0.6622,0.6539,7303.0
weighted avg,0.7073,0.6627,0.6544,7303.0
