class,precision,recall,f1-score,support
joy,0.8835,0.9399,0.9109,1049.0
fear,0.8006,0.7833,0.7918,1066.0
anger,0.6384,0.5264,0.577,1060.0
sadness,0.5689,0.8903,0.6942,1039.0
disgust,0.8786,0.4749,0.6165,1036.0
shame,0.6374,0.384,0.4793,1039.0
guilt,0.5462,0.7796,0.6423,1039.0
accuracy,0.683,0.683,0.683,0.683
macro avg,0.7077,0.6826,0.6732,7328.0
weighted avg,0.708,0.683,0.6737,7328.0
