class,precision,recall,f1-score,support
joy,0.8882,0.9552,0.9205,1048.0
fear,0.8722,0.743,0.8024,1066.0
anger,0.6015,0.5255,0.5609,1060.0
sadness,0.5424,0.8739,0.6694,1039.0
disgust,0.684,0.6357,0.659,1035.0
shame,0.6526,0.4904,0.56,1038.0
guilt,0.634,0.5784,0.6049,1039.0
accuracy,0.6861,0.6861,0.6861,0.6861
macro avg,0.6964,0.686,0.6824,7325.0
weighted avg,0.697,0.6861,0.6829,7325.0
